Gene	090317_0121166	090318_0121167	090319_0121168	090320_0121169	090321_0121170	090322_0121171	090323_0121172	090324_0121173	090325_0121174	090326_0121175	090327_0121176	090328_0121177	090329_0121178	090330_0121179	090331_0121180	090332_0121181	090333_0121182	090334_0121183	090335_0121184	090336_0121185	090337_0121186	090338_0121187	090339_0121188	090340_0121189	090341_0121190	090342_0121191	090343_0121192	090344_0121193	090345_0121194	090346_0121195	090347_0121196	090348_0121197	090349_0121198	090350_0121199	090351_0121200	090352_0121201	090353_0121202	090354_0121203	090355_0121204	090356_0121205	090357_0121206	090358_0121207	090359_0121208	090360_0121209	090361_0121210	090362_0121211	090363_0121212	090364_0121213	090365_0121214	090366_0121215		MaxL2T	MinL2T	Max-Min	Max-Min/Min+1	coeff of var	#samples_zero
GPR75-ASB3	3.5	1	0	1.6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	1	3.8	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	1.6	0	4.3	0	0	0	0	0	0	0	0	0		4.3	0	4.3	4.3	2.362333736	40
H4C3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	1	0	0	0	0	0	1	1	0	0	0	0	0	1.6	0	0	0	0	0	0	1	0	3.2	1	0	0	0	0	0	0	0	1		3.2	0	3.2	3.2	2.309326925	40
ACMSD	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1.6	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0		3	0	3	3	2.294679266	40
TAS2R10	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	0	3	3	2.286260868	40
OTUD6A	0	0	0	0	0	1	0	0	2.8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0		2.8	0	2.8	2.8	2.269386526	40
H4C9	0	0	0	2	1	0	2.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	3	0	0	0	0	0	1	0	0	0		3	0	3	3	2.269333041	40
H3C1	0	0	0	1	0	1	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.6	0	1	0	0	0	0	0	0	0	0	1	1.6	1		2.8	0	2.8	2.8	2.226267778	40
C20orf204	0	0	0	0	0	1	1	1	0	2.6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0		2.6	0	2.6	2.6	2.226034193	40
H3C4	0	0	1	0	1	0	0	0	0	0	0	0	2.3	0	0	1	0	0	0	2.6	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1.6	1	0	0	0	0	0	0	0	1		2.6	0	2.6	2.6	2.219388515	40
MR1	0	0	1	0	0	0	0	1	0	0	0	2.6	0	0	0	0	0	1	0	0	1	0	1.6	0	0	0	0	0	0	0	0	0	0	1.6	1.6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0		2.6	0	2.6	2.6	2.188021844	40
